query,case,system,run,seconds,rows,min_votes,note
q3_genre_by_decade,q3_genre_by_decade,postgresql,5,0.021771,10,100,
q3_genre_by_decade,q3_genre_by_decade,neo4j,5,0.058286,10,100,
q3_genre_by_decade,q3_genre_by_decade,postgresql,6,0.023886,10,100,
q3_genre_by_decade,q3_genre_by_decade,neo4j,6,0.058994,10,100,
q3_genre_by_decade,q3_genre_by_decade,postgresql,7,0.023029,10,100,
q3_genre_by_decade,q3_genre_by_decade,neo4j,7,0.062506,10,100,
q3_genre_by_decade,q3_genre_by_decade,postgresql,8,0.023297,10,100,
q3_genre_by_decade,q3_genre_by_decade,neo4j,8,0.059377,10,100,
q3_genre_by_decade,q3_genre_by_decade,postgresql,9,0.023333,10,100,
q3_genre_by_decade,q3_genre_by_decade,neo4j,9,0.059395,10,100,
q3_genre_by_decade,q3_genre_by_decade,postgresql,10,0.024161,10,100,
q3_genre_by_decade,q3_genre_by_decade,neo4j,10,0.061156,10,100,
q4_recommendations,q4_recommendations,postgresql,1,0.002142,10,100,
q4_recommendations,q4_recommendations,neo4j,1,0.001780,10,100,
q4_recommendations,q4_recommendations,postgresql,2,0.002104,10,100,
q4_recommendations,q4_recommendations,neo4j,2,0.001822,10,100,
q4_recommendations,q4_recommendations,postgresql,3,0.001938,10,100,
q4_recommendations,q4_recommendations,neo4j,3,0.001598,10,100,
q4_recommendations,q4_recommendations,postgresql,4,0.002446,10,100,
q4_recommendations,q4_recommendations,neo4j,4,0.001434,10,100,
q4_recommendations,q4_recommendations,postgresql,5,0.002144,10,100,
q4_recommendations,q4_recommendations,neo4j,5,0.001973,10,100,
q4_recommendations,q4_recommendations,postgresql,6,0.002602,10,100,
q4_recommendations,q4_recommendations,neo4j,6,0.001581,10,100,
q4_recommendations,q4_recommendations,postgresql,7,0.002003,10,100,
q4_recommendations,q4_recommendations,neo4j,7,0.001673,10,100,
q4_recommendations,q4_recommendations,postgresql,8,0.002355,10,100,
q4_recommendations,q4_recommendations,neo4j,8,0.001226,10,100,
q4_recommendations,q4_recommendations,postgresql,9,0.002068,10,100,
q4_recommendations,q4_recommendations,neo4j,9,0.001640,10,100,
q4_recommendations,q4_recommendations,postgresql,10,0.001988,10,100,
q4_recommendations,q4_recommendations,neo4j,10,0.001219,10,100,
